post_id,ps_instances,ps_verdicts,fact_check_id,fc_instances,ps_lang,fc_lang,fc_claim_source,fc_claim_target,fc_claim_langs,ps_text_source,ps_text_target,ps_text_langs,fc_title_source,fc_title_target,fc_title_langs,ps_ocr_source,ps_ocr_target,ps_ocr_langs
29,"[(1601298279.0, 'fb')]",Partly false information,36,"(1601460480.0, 'https://factcheck.afp.com/video-actually-shows-cashew-shaped-biscuits-being-made#3da7f142f60555ca3d0f21d14ebcf739')",eng,eng,"Fake cashew nuts made from flour and chemicals in Kerala state, India","Fake cashew nuts made from flour and chemicals in Kerala state, India","[('eng', 1.0)]","Fake Cashewnuts, made in Kerala. Prepared by mixing maida and some chemicals, which gives the same taste of original cashew nuts cost per Kg is only Rs.300 to Rs.400.
Create awareness by sharing in your the groups","Fake Cashewnuts, made in Kerala. Prepared by mixing maida and some chemicals, which gives the same taste of original cashew nuts cost per Kg is only Rs.300 to Rs.400.
Create awareness by sharing in your the groups","[('eng', 1.0)]",This video actually shows cashew-shaped biscuits being made,This video actually shows cashew-shaped biscuits being made,"[('eng', 1.0)]",,,
30,"[(1648089860.0, 'fb')]",Partly false information,41,"(1648553400.0, 'https://factcheck.afp.com/doc.afp.com.326V4PP#6b9dfef90f1d15c6dec213bc5e6585e3')",kor,eng,A massive fire broke out at the Fukushima nuclear power plant after the March 16 earthquake in eastern Japan,A massive fire broke out at the Fukushima nuclear power plant after the March 16 earthquake in eastern Japan,"[('eng', 1.0)]","★긴급] 일본 후쿠시마 원전에서 화재 발생...일본 정부, 주변 지역에 긴급대피령 선포★
","★Emergency] A fire breaks out at the Fukushima nuclear power plant in Japan...The Japanese government declares an emergency evacuation order in the surrounding area★
","[('kor', 1.0)]",Social media users share misleading Fukushima plant claim after Japan earthquake,Social media users share misleading Fukushima plant claim after Japan earthquake,"[('eng', 1.0)]","[속보] 일본 후쿠시마 원전
붉은 화염에 휩싸인 상황
현재상황
""죽고싶지 않다면 지금 당장 도망쳐야한다”
긴급대피령 내려진 흐쿠시마 7:34","[Breaking News] Japan's Fukushima Nuclear Power Plant
engulfed in red flames
current situation
""If you don't want to die, you have to run away now.""
Hkushima, where an emergency evacuation order was issued 7:34","[('kor', 0.9320526123046875)]"
31,"[(1643717173.0, 'fb')]",Missing context,13,"(1644469680.0, 'https://factcheckkorea.afp.com/doc.afp.com.9Z82PQ#cdd9990cb89b1a4cdcd68ab0facf2fb8')",kor,kor,일본 제약사가 구충제 이버멕틴 임상 3상에서 오미크론 치료 효과를 발견했다,"A Japanese pharmaceutical company discovered the efficacy of Omicron treatment in phase 3 clinical trial of ivermectin, an anthelmintic drug","[('kor', 1.0)]","로이터통신에 따르면 코와는 임상 3상 시험 결과 ""이버멕틴이 오미크론 변이에 대한 항바이러스 효과가 있다는 것을 확인했다""고 31일 발표했다.","According to Reuters, Kowa announced on the 31st that the results of the phase 3 clinical trial ""confirmed that ivermectin has an antiviral effect against omicron mutations.""","[('kor', 1.0)]","일본 제약사, 구충제 이버멕틴 임상 3상에서 오미크론 치료 효과 발견했다? 오보에 기반한 잘못된 정보","Japanese pharmaceutical company discovered the effect of Omicron treatment in phase 3 clinical trial of ivermectin, an anthelmintic drug? Misinformation based on misinformation","[('kor', 1.0)]",,,
32,"[(1610424636.0, 'fb')]",,19,"(1610566980.0, 'https://factcheck.afp.com/quotes-us-democrats-falsely-characterized-calls-violence#f667dae58edeb0d1158a5e5aa0ba94d7')",spa,eng,Democrats have incited unrest,Democrats have incited unrest,"[('eng', 1.0)]","🚨🚨🚨🚨BREAKING NEWS🚨🚨🚨🚨🚨
EL PRESIDENTE TRUMP ACTIVA LA LEY DE INSURRECCIÓN. LOS MILITARES HAN TOMADO EL CONTROL. 

ESTOS DÍAS ANTES DEL 20 DE ENERO SERÁN MUY FUERTES. YA COMENZARON LOS APAGONES EN VARIOS PAÍSES DEL MUNDO Y TAMBIÉN LOS ARRESTOS.

MR. ROMERO TV.","🚨🚨🚨🚨BREAKING NEWS🚨🚨🚨🚨🚨
PRESIDENT TRUMP ACTIVATES THE INSURRECTION LAW. THE MILITARY HAVE TAKEN CONTROL.

THESE DAYS BEFORE JANUARY 20 WILL BE VERY STRONG. THE BLACKOUTS HAVE ALREADY BEGUN IN SEVERAL COUNTRIES OF THE WORLD AND ALSO THE ARRESTS.

MR. ROMEROTV.","[('spa', 1.0)]",Quotes from US Democrats falsely characterized as calls for violence,Quotes from US Democrats falsely characterized as calls for violence,"[('eng', 1.0)]",,,
33,"[(1596341010.0, 'fb')]",False information,38,"(1596524280.0, 'https://factcheck.afp.com/photo-shows-street-parade-switzerland-covid-19-pandemic#90ccd0c9a78e293b06f26d7a9cef3ee6')",eng,eng,"Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany","Photo shows 1.3 million protestors against COVID-19 restrictions in Berlin, Germany","[('eng', 1.0)]",,,,This photo shows a street parade in Switzerland before the COVID-19 pandemic,This photo shows a street parade in Switzerland before the COVID-19 pandemic,"[('eng', 1.0)]","Protest in Berlin today against the CV Lockdown and
tyranny
MSM says 20-25K protesters with most headlines
says ""thousands of people""...000
According to police:
800,000 to 1,300,000,000
KELLER
4444","Protest in Berlin today against the CV Lockdown and
tyranny
MSM says 20-25K protesters with most headlines
says ""thousands of people""...000
According to police:
800,000 to 1,300,000,000
KELLER
4444","[('eng', 0.9926390647888184)]"
34,"[(1614423140.0, 'fb')]",False information,49,"(1615544040.0, 'https://factcheck.afp.com/no-video-was-originally-uploaded-satire-greece-based-facebook-user#ff5cfa4cd5136d97ef80065337cc186d')",eng,eng,Video shows face masks from China inserted with RFID chips,Video shows face masks from China inserted with RFID chips,"[('eng', 1.0)]","Made in China masks are made of plastic, sprayed with chemicals and often contain RFID chips. (44 seconds) Single-use masks are typically made from polypropylene, a petrol fuel-derived plastic that can take hundreds of years to break down.","Made in China masks are made of plastic, sprayed with chemicals and often contain RFID chips. (44 seconds) Single-use masks are typically made from polypropylene, a petrol fuel-derived plastic that can take hundreds of years to break down.","[('eng', 1.0)]","No, the video was originally uploaded as satire by a Greece-based Facebook user","No, the video was originally uploaded as satire by a Greece-based Facebook user","[('eng', 1.0)]",,,
35,"[(1657679623.0, 'fb')]",False information,35,"(1595888201.0, 'https://leadstories.com/hoax-alert/2020/07/fact-check-military-vanguard-11-billion-dollar-border-wall-did-not-blow-down-in-hurriane-hanna.html#9e281cdd4449c46a757f858177491e1e')",spa,eng,A section of the $11 Billion Dollar Wall blew over during Hurricane Hanna,A section of the $11 Billion Dollar Wall blew over during Hurricane Hanna,"[('eng', 1.0)]",‪Las fuertes ráfagas de viento de la tormenta tropical #Hanna ocasionaron la caída de una parte del muro fronterizo entre Estados Unidos y México. ‬,Strong gusts of wind from tropical storm #Hanna caused part of the border wall between the United States and Mexico to fall.,"[('spa', 1.0)]",Fact Check: $11 Billion Dollar Border Wall Did NOT Blow Down In Hurricane Hanna,Fact Check: $11 Billion Dollar Border Wall Did NOT Blow Down In Hurricane Hanna,"[('eng', 1.0)]",,,
36,"[(1629350087.0, 'fb')]",Partly false information,47,"(1629405502.0, 'https://colombiacheck.com/chequeos/de-nuevo-de-roux-no-dijo-que-policias-y-soldados-no-estaban-secuestrados-sino-pagando#8c09ff1a31de265207de51d8c147dfe6')",spa,spa,De Roux dijo que policías y soldados secuestrados estaban pagando cárcel,De Roux said that kidnapped policemen and soldiers were serving jail time,"[('spa', 1.0)]","Este sacerdote izquierdozo , es uno de los integrantes de la comisión de la verdad , según los acuerdos de la habana .","This leftist priest is one of the members of the truth commission , according to the Havana accords .","[('spa', 1.0)]","De nuevo, De Roux no dijo que policías y soldados ‘no estaban secuestrados sino pagando cárcel en la selva’","Again, De Roux did not say that police and soldiers ""were not kidnapped but were serving jail in the jungle.""","[('spa', 1.0)]","""Los Soldados y Policías no
estaban Secuestrados.
Ellos estaban Pagando Cárcel
allá en la Selva""
Francisco de Roux
Háganme el hp favor!","""Soldiers and policemen do not
They were kidnapped.
They were paying jail
there in the jungle""
Francis of Roux
Do me the hp please!","[('spa', 0.851275622844696), ('spa', 0.14872440695762634)]"
37,"[(1613773263.0, 'fb')]",False information,31,"(1614162540.0, 'https://factcheck.afp.com/photo-shows-anti-government-protest-bucharest-2017-not-2021#c82a2c6044eb82e318824c56f774c359')",kor,eng,Photo shows anti-coronavirus restrictions protest in Bucharest in 2021,Photo shows anti-coronavirus restrictions protest in Bucharest in 2021,"[('eng', 1.0)]",코로나 바이러스를 이용한 정부의 통제에 반발해서 일어난 루마니아 국민들. 국민들이 이 정도만 깨어있어도 좋겠다.,Romanians protested against government controls using the coronavirus. I wish people could just stay awake like this.,"[('kor', 1.0)]","This photo shows an anti-government protest in Bucharest in 2017, not 2021","This photo shows an anti-government protest in Bucharest in 2017, not 2021","[('eng', 1.0)]",,,
38,"[(1610431026.0, 'fb')]",False information,29,"(1610709600.0, 'https://factcheck.afp.com/social-media-posts-mislead-south-korean-coronavirus-vaccine#a4efffddb8ee919453b86c3a9b4b9fee')",kor,eng,The free Covid-19 vaccines South Korea plans to offer will be from Celltrion.,The free Covid-19 vaccines South Korea plans to offer will be from Celltrion.,"[('eng', 1.0)]",,,,Social media posts mislead on South Korean coronavirus vaccine,Social media posts mislead on South Korean coronavirus vaccine,"[('eng', 1.0)]","2021
CTIVE
사
PONAR
1044
다음 달부터 백신 접종 시작전 국민 무료 접종
보건 복지부.....10번 전화해 어떤 종류의 백신 이냐고
계속 전화 했더니....솔직히 답하네요
화이자․모데나.아스트라..........아니고
무료는 셀트리온 이라고","2021
CTIVE
buy
PONAR
1044
Free vaccinations for the public before the start of vaccination starting next month
Ministry of Health and Welfare.....Call 10 to find out what kind of vaccine
I kept calling....I answer honestly.
Pfizer, Modena, Astra....not
Celltrion for free","[('kor', 0.8895023465156555), ('eng', 0.028071150183677673)]"
39,"[(1629960123.0, 'fb')]",Partly false information,11,"(1630948200.0, 'https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9MC2V9-1#66e5c18d17332346a0a76d83f05ecec9')",spa,spa,"En agosto de 2021 se registró el primer caso de lambda en México, en Colima","In August 2021, the first case of lambda was registered in Mexico, in Colima","[('spa', 1.0)]","Último momento

Detectan el primer caso de la variante Lambda en México. 
Exactamente fue en el estado de Colima.
Se habla de que la variante Lambda es mas peligrosa que la variante Delta.","Last moment

They detect the first case of the Lambda variant in Mexico.
It was exactly in the state of Colima.
It is said that the Lambda variant is more dangerous than the Delta variant.","[('spa', 1.0)]",La variante lambda del virus que causa el covid-19 circula en México desde abril de 2021,The lambda variant of the virus that causes covid-19 has been circulating in Mexico since April 2021,"[('spa', 1.0)]",,,
40,"[(1613014349.0, 'fb')]",,24,"(1613723340.0, 'https://factcheck.afp.com/fabricated-report-falsely-claims-italian-police-arrested-scores-paedophile-cardinals-vatican#151e5c5f58bf67b27df7a9fccdaa5d53')",kor,eng,Italy raided Vatican City and arrested scores of paedophile priests,Italy raided Vatican City and arrested scores of paedophile priests,"[('eng', 1.0)]","{속보}이탈리아 경찰 & 군부대가 바티칸 시를 습격하고 소아성애자 추기경 체포 | UNnews 유엔뉴스 유엔신문
","{Breaking} Italian Police & Military Units Assault Vatican City and Arrest Pedophile Cardinal | UNnews UN News UN Newspaper
","[('kor', 1.0)]",Fabricated report falsely claims Italian police 'arrested scores of paedophile cardinals' in Vatican,Fabricated report falsely claims Italian police 'arrested scores of paedophile cardinals' in Vatican,"[('eng', 1.0)]",,,
41,"[(1614775405.0, 'fb')]",Missing context.,6,"(1615258440.0, 'https://factcheckkorea.afp.com/hoju-nyusauseuweiljeu-maseukeu-yimuhwa-eobsi-korona19-jongsig-seoneonhaessda-sanghwange-ddareun#e64fad7bf14bcde636f2412319b8c73d')",kor,kor,"호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다.","New South Wales, Australia declares an end to COVID-19 without compulsory masks.","[('kor', 1.0)]","코로나는 감기수준도 안돼. 마스크안쓰기 및 자율 운동하자

*호주 인구 제일 많은  NSW주 코로나종식선언. 한 달 째 마스크안쓰고 코로나감염 0,
*미국 텍사스주 포함 16개주 마스크 자율에 맡김.폄","Corona is not even at the level of a cold. Let's not wear a mask and exercise autonomously

* NSW has the largest population in Australia. Corona infection 0 without wearing a mask for a month,
* 16 states, including Texas, leave masks to autonomy.","[('kor', 1.0)]","호주 뉴사우스웨일즈, 마스크 의무화 없이 코로나19 종식 선언했다? 상황에 따른 마스크 의무화 시행… 해외유입 신규 감염자 여전히 기록 중","New South Wales, Australia declares an end to COVID-19 without compulsory masks? Enforcement of mandatory mask according to the situation... New infections imported from overseas are still being recorded","[('kor', 1.0)]",,,
42,"[(1565199899.0, 'fb'), (1574096168.0, 'fb')]",False information,32,"(1577491560.0, 'https://factual.afp.com/el-oso-polar-es-de-peluche-pero-la-especie-es-considerada-vulnerable#3df4efff19eb96e5298b54ff9c7af636')",spa,spa,Un oso polar recién nacido,A newborn polar bear,"[('spa', 1.0)]",Soy un Oso Polar recien nacido y me estoy extinguiendo... pero como no soy un meme no me harás viral...,I'm a newborn Polar Bear and I'm going extinct... but since I'm not a meme you won't make me viral...,"[('spa', 1.0)]","El oso polar es de peluche, pero la especie es considerada vulnerable","The polar bear is cuddly, but the species is considered vulnerable","[('spa', 1.0)]",,,
43,"[(1520127049.0, 'fb')]",False information,7,"(1583947680.0, 'https://factual.afp.com/el-nino-no-duerme-entre-las-tumbas-de-sus-padres-en-siria-fue-una-puesta-en-escena-de-un-estudiante#bd7b5ff4c9d4f8e7a5721c1b1376888a')",spa,spa,La imagen de un niño sirio que duerme junto a las tumbas de sus padres,The image of a Syrian child who sleeps next to the graves of his parents,"[('spa', 1.0)]","Una vez más, mas naciones miran hacia otro lado, mientras un niño duerme al lado de las tumbas de sus padres muertos en Siria.

La indiferencia del mundo es cómplice de esta tragedia 😢","Once again, more nations look the other way, while a child sleeps next to the graves of his dead parents in Syria.

The indifference of the world is an accomplice to this tragedy 😢","[('spa', 1.0)]","El niño no duerme entre las tumbas de sus padres en Siria, fue una puesta en escena de un estudiante de fotografía","The boy does not sleep between the graves of his parents in Syria, it was a staging by a photography student","[('spa', 1.0)]",,,
44,"[(1637174252.0, 'fb')]",False information,12,"(1638331200.0, 'https://factcheck.afp.com/http%253A%252F%252Fdoc.afp.com%252F9TA2CC-2#7612cac73309e856298a52d357ab44de')",kor,eng,This video shows an anti-lockdown rally in Austria,This video shows an anti-lockdown rally in Austria,"[('eng', 1.0)]","백신 접종을 하지 않은 사람들의 불법적인 봉쇄에 최대의 힘으로 저항하려고 길로 나온 오스트리아인.

Austrians out in full force resisting and defying the illegal lockdown of non-vaxxinated people.","An Austrian who has gone out of his way to resist the illegal blockade of the unvaccinated with all his might.

Austrians out in full force resisting and defying the illegal lockdown of non-vaxxinated people.","[('kor', 1.0)]","This video shows football fans marching through an Austrian town in 2019, not an anti-lockdown rally","This video shows football fans marching through an Austrian town in 2019, not an anti-lockdown rally","[('eng', 1.0)]",,,
45,"[(1638298215.0, 'ig')]",,27,"(1639156860.0, 'https://factual.afp.com/http%253A%252F%252Fdoc.afp.com%252F9UE6A3-1#7e4c63ab498248fb40c5b7f44a89890e')",spa,spa,La Comisión Europea pide que se feliciten las fiestas y no la Navidad,The European Commission asks that the holidays be congratulated and not Christmas,"[('spa', 1.0)]","Feliz Navidad a todos!🎄🎅🏻

Y los políticos que no festejan la Navidad que no se tomen vacaciones! 🙊😂","Merry Christmas everyone!🎄🎅🏻

And politicians who don't celebrate Christmas shouldn't take vacations! 🙊😂","[('spa', 1.0)]","El texto de la Comisión Europea sobre las fiestas y la Navidad era de uso interno, y fue retirado","The text of the European Commission on holidays and Christmas was for internal use, and was withdrawn","[('spa', 1.0)]","La Comisión Europea pide que
se feliciten las ""fiestas"" y no
""la Navidad"" en nombre de la
inclusión
En un comunicado, la Comisión de Igualdad señala que hay","The European Commission asks that
congratulate the ""holidays"" and not
""Christmas"" in the name of the
inclusion
In a statement, the Equality Commission points out that there are","[('spa', 1.0)]"
46,"[(1657244401.0, 'fb')]",Missing context,43,"(1612824420.0, 'https://factcheck.afp.com/article-misleads-mercks-decision-drop-covid-19-vaccines#d4dcef159268e3e2bd023564e16a2fb3')",spa,eng,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover,Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover,"[('eng', 1.0)]","Productora de vacunas Merck ha desistido de seguir desarrollando dos vacunas para el
coronavirus anunciando que es más efectivo la recuperación natural que la vacuna. #SeVieneMás","Vaccine producer Merck has given up further development of two vaccines for the
coronavirus announcing that natural recovery is more effective than the vaccine. #SeComesMore","[('spa', 1.0)]",Article misleads on Merck’s decision to drop Covid-19 vaccines,Article misleads on Merck’s decision to drop Covid-19 vaccines,"[('eng', 1.0)]",,,
46,"[(1657244401.0, 'fb')]",Missing context,1,"(1611619140.0, 'https://healthfeedback.org/claimreview/covid-19-vaccines-currently-in-use-stimulate-immunity-to-the-same-degree-as-natural-infection-without-exposing-the-vaccinated-person-to-the-risks-associated-with-the-disease/#9bb4e8541635c595b6e5072c4dba33c5')",spa,eng,“Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover”,“Merck Scraps COVID Vaccines; Says It’s More Effective To Get The Virus And Recover”,"[('eng', 1.0)]","Productora de vacunas Merck ha desistido de seguir desarrollando dos vacunas para el
coronavirus anunciando que es más efectivo la recuperación natural que la vacuna. #SeVieneMás","Vaccine producer Merck has given up further development of two vaccines for the
coronavirus announcing that natural recovery is more effective than the vaccine. #SeComesMore","[('spa', 1.0)]",COVID-19 vaccines currently in use stimulate immunity to the same degree as natural infection without exposing the vaccinated person to the risks associated with the disease,COVID-19 vaccines currently in use stimulate immunity to the same degree as natural infection without exposing the vaccinated person to the risks associated with the disease,"[('eng', 1.0)]",,,
46,"[(1657244401.0, 'fb')]",Missing context,4,"(1611871602.0, 'https://www.usatoday.com/story/news/factcheck/2021/01/28/fact-check-merck-ends-covid-19-vaccine-work-based-immune-response/4292935001/#c7c5360883b57a936d147c2d6f233857')",spa,eng,U.S. pharmaceutical company Merck said it scrapped its COVID-19 vaccine trials because it was more effective to contract the virus and recover,U.S. pharmaceutical company Merck said it scrapped its COVID-19 vaccine trials because it was more effective to contract the virus and recover,"[('eng', 1.0)]","Productora de vacunas Merck ha desistido de seguir desarrollando dos vacunas para el
coronavirus anunciando que es más efectivo la recuperación natural que la vacuna. #SeVieneMás","Vaccine producer Merck has given up further development of two vaccines for the
coronavirus announcing that natural recovery is more effective than the vaccine. #SeComesMore","[('spa', 1.0)]",Fact check: Merck discontinues COVID-19 vaccine work over weak immune response,Fact check: Merck discontinues COVID-19 vaccine work over weak immune response,"[('eng', 1.0)]",,,
